accommodates,bedrooms,beds,bathrooms,longitude,neighbourhood_cleansed,room_type,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,nb_amenities,people_per_bedroom,amenities_per_person
1.0,1.0,1.0,1.0,-122.281995873385,15.0,1.0,0.0,8.0,96.0,10.0,10.0,6.0,0.5,7.0
6.0,3.0,3.0,2.0,-122.29886413405028,15.0,0.0,10.0,10.0,100.0,10.0,10.0,19.0,1.5,20.0
3.0,2.0,2.0,1.5,-122.31850820493196,14.0,0.0,0.0,8.0,96.0,10.0,10.0,7.0,1.0,20.0
5.0,3.0,3.0,1.5,-122.33849652099612,13.0,0.0,10.0,10.0,100.0,9.0,10.0,11.0,1.25,20.0
6.0,2.0,3.0,1.0,-122.32873782791197,3.0,0.0,10.0,10.0,94.0,10.0,10.0,18.0,2.0,20.0
6.0,3.0,3.0,2.0,-122.32233635925644,14.0,0.0,0.0,8.0,96.0,10.0,10.0,17.0,1.5,20.0
2.0,1.0,1.0,1.0,-122.2899579902188,15.0,1.0,10.0,10.0,93.0,10.0,9.0,11.0,1.0,11.0
9.0,5.0,5.0,4.5,-122.30992714453488,11.0,0.0,10.0,10.0,100.0,10.0,10.0,21.0,1.5,20.0
6.0,2.0,4.0,1.0,-122.32466335427704,13.0,0.0,10.0,10.0,98.0,10.0,10.0,12.0,2.0,20.0
3.0,1.0,2.0,1.0,-122.33924217231356,1.0,0.0,9.0,10.0,97.0,10.0,10.0,17.0,1.5,20.0
5.0,2.0,2.0,2.5,-122.40058336490942,15.0,0.0,10.0,10.0,93.0,10.0,9.0,19.0,1.6666666666666667,20.0
2.0,1.0,1.0,1.0,-122.37581952643252,15.0,1.0,10.0,10.0,96.0,9.0,9.0,10.0,1.0,8.0
1.0,1.0,1.0,1.5,-122.36984208789748,15.0,1.0,10.0,10.0,98.0,10.0,10.0,14.0,0.5,20.0
4.0,1.0,2.0,1.0,-122.31196117977724,15.0,1.0,10.0,10.0,95.0,10.0,9.0,23.0,2.0,20.0
2.0,1.0,1.0,1.5,-122.30838186065726,8.0,1.0,10.0,10.0,95.0,10.0,9.0,17.0,1.0,17.0
4.0,2.0,2.0,1.0,-122.3084705521602,11.0,0.0,10.0,10.0,99.0,10.0,10.0,20.0,1.3333333333333333,12.0
1.0,1.0,1.0,1.0,-122.38534417643892,15.0,1.0,7.0,10.0,92.0,9.0,8.0,11.0,0.5,20.0
1.0,1.0,1.0,2.0,-122.32824267065754,15.0,2.0,10.0,10.0,93.0,9.0,9.0,19.0,0.5,20.0
2.0,1.0,1.0,1.0,-122.32749326587074,15.0,1.0,10.0,10.0,89.0,9.0,10.0,7.0,1.0,2.0
2.0,1.0,1.0,2.5,-122.33968504915391,13.0,1.0,10.0,10.0,100.0,10.0,10.0,11.0,1.0,11.0
2.0,0.0,1.0,1.0,-122.36055895775095,4.0,0.0,1.0,7.0,100.0,10.0,10.0,19.0,2.0,19.0
5.0,2.0,2.0,2.0,-122.33928908407869,1.0,0.0,10.0,10.0,98.0,10.0,10.0,27.0,1.6666666666666667,20.0
4.0,1.0,4.0,1.5,-122.27355490974644,15.0,1.0,0.0,8.0,96.0,10.0,10.0,12.0,2.0,3.0
4.0,1.0,2.0,1.0,-122.34751787491491,7.0,0.0,10.0,10.0,91.0,10.0,10.0,25.0,2.0,15.0
2.0,1.0,1.0,1.0,-122.31575113039727,15.0,0.0,0.0,8.0,96.0,10.0,10.0,12.0,1.0,12.0
1.0,1.0,1.0,1.0,-122.28288883471058,15.0,1.0,1.0,10.0,80.0,8.0,8.0,8.0,0.5,12.0
1.0,1.0,1.0,0.5,-122.31969523850948,14.0,2.0,9.0,10.0,91.0,9.0,10.0,7.0,0.5,10.0
2.0,1.0,1.0,1.0,-122.31757100047255,14.0,1.0,0.0,8.0,96.0,10.0,10.0,6.0,1.0,0.0
7.0,3.0,3.0,2.5,-122.3993528037626,15.0,0.0,0.0,8.0,96.0,10.0,10.0,15.0,1.75,20.0
2.0,1.0,1.0,1.0,-122.31200054233196,11.0,2.0,1.0,7.0,100.0,10.0,10.0,13.0,1.0,13.0
2.0,1.0,1.0,1.0,-122.29008955359618,15.0,1.0,10.0,10.0,98.0,10.0,10.0,2.0,1.0,20.0
4.0,2.0,2.0,1.0,-122.36882353054044,15.0,0.0,10.0,10.0,95.0,10.0,10.0,12.0,1.3333333333333333,3.0
2.0,1.0,1.0,1.0,-122.31070411655652,15.0,1.0,6.0,10.0,100.0,9.0,10.0,12.0,1.0,12.0
2.0,1.0,1.0,2.0,-122.312432482075,8.0,0.0,10.0,10.0,100.0,10.0,10.0,10.0,1.0,8.0
