accommodates,bedrooms,beds,bathrooms,latitude,longitude,neighbourhood_cleansed,property_type,room_type,minimum_nights,availability_30,availability_365,number_of_reviews,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,month,day_of_week,nb_amenities,amenities,distance_center_km,lat_from_median,lon_from_median,people_per_bedroom,amenities_per_person,estimated_months_active,price
2.0,0.0,1.0,1.0,47.64105215050513,-122.37508173306394,81.0,0.0,0.0,2.0,18.0,103.0,109.0,5.24,97.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,0.0,8.0,2444.0,5.031214254948111,0.017451219630487458,0.04620729819855285,2.0,2.6666666666666665,20.411985018726593,90.0
2.0,1.0,1.0,1.0,47.63140094589966,-122.3676901333062,81.0,9.0,1.0,1.0,29.0,345.0,52.0,7.06,92.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,0.0,10.0,29.0,3.8625444136885974,0.0078000150250119304,0.03881569844081412,1.0,3.3333333333333335,7.262569832402235,80.0
2.0,1.0,2.0,1.0,47.64152492560981,-122.3761503724508,81.0,5.0,1.0,2.0,19.0,102.0,191.0,4.96,97.0,10.0,10.0,10.0,10.0,9.0,10.0,12.0,0.0,7.0,226.0,5.12277397122344,0.017923994735163262,0.04727593758541104,1.0,2.3333333333333335,37.74703557312253,60.0
4.0,2.0,2.0,1.0,47.635310702971786,-122.36350557505072,81.0,9.0,0.0,1.0,30.0,48.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,10.0,3134.0,3.9956699067343195,0.011709772097141524,0.03463114018533986,1.3333333333333333,2.0,0.0,175.0
6.0,3.0,4.0,2.5,47.66932717471968,-122.39259356469373,0.0,9.0,0.0,4.0,23.0,27.0,9.0,1.82,91.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,0.0,20.0,2474.0,8.342407208156352,0.04572624384503854,0.0637191298283426,1.5,2.857142857142857,4.6875,170.0
2.0,1.0,1.0,1.0,47.67407415557543,-122.3938640503292,0.0,0.0,0.0,3.0,20.0,347.0,65.0,3.94,98.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,17.0,3026.0,8.838985384707492,0.050473224700787966,0.06498961546381565,1.0,5.666666666666667,16.08910891089109,85.0
12.0,5.0,7.0,3.5,47.67362807262794,-122.38930195133072,0.0,9.0,0.0,3.0,3.0,175.0,5.0,1.38,96.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,20.0,2749.0,8.622311254120573,0.050027141753297144,0.060427516465338726,2.0,1.5384615384615385,3.3783783783783785,465.0
2.0,1.0,1.0,1.0,47.6684599605579,-122.37951599522182,0.0,0.0,0.0,1.0,0.0,94.0,5.0,1.01,96.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,0.0,10.0,2247.0,7.7686640414323564,0.04485902968325206,0.050641560356439186,1.0,3.3333333333333335,4.504504504504504,175.0
2.0,1.0,1.0,1.0,47.670662322939705,-122.37866592236747,0.0,7.0,1.0,1.0,20.0,355.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,17.0,2046.0,7.958852332094198,0.04706139206506066,0.04979148750209106,1.0,5.666666666666667,0.0,50.0
2.0,1.0,1.0,1.0,47.67264618041156,-122.3893330272264,0.0,0.0,1.0,1.0,0.0,166.0,0.0,1.54,96.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,1.0,3283.0,8.529042873733568,0.04904524953691691,0.06045859236101592,1.0,0.3333333333333333,0.0,60.0
2.0,1.0,1.0,1.0,47.67317538409765,-122.38225959936204,0.0,9.0,1.0,1.0,25.0,360.0,16.0,3.29,93.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,20.0,487.0,8.328261667194932,0.049574453223002024,0.05338516449666031,1.0,6.666666666666667,4.71976401179941,59.0
4.0,1.0,4.0,1.0,47.66793300136605,-122.3786524676208,0.0,0.0,1.0,1.0,30.0,89.0,23.0,3.07,77.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0,0.0,18.0,1071.0,7.687172466629447,0.044332070491407194,0.04977803275541248,2.0,3.6,7.255520504731861,47.0
4.0,2.0,2.0,1.0,47.67296864487422,-122.39733818247204,0.0,9.0,0.0,2.0,29.0,88.0,45.0,1.44,97.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,0.0,12.0,816.0,8.8749594893941,0.049367713999572516,0.06846374760665697,1.3333333333333333,2.4,29.22077922077922,145.0
2.0,1.0,1.0,1.0,47.66862741947888,-122.3894959253679,0.0,9.0,1.0,1.0,10.0,343.0,75.0,3.46,94.0,10.0,9.0,10.0,10.0,10.0,10.0,12.0,0.0,8.0,560.0,8.15278846119534,0.04502648860423619,0.06062149050251264,1.0,2.6666666666666665,21.06741573033708,70.0
2.0,1.0,1.0,1.0,47.67011138347177,-122.39386928567664,0.0,9.0,1.0,2.0,15.0,348.0,86.0,4.43,94.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,13.0,1525.0,8.467397146908144,0.04651045259712561,0.06499485081126011,1.0,4.333333333333333,18.984547461368656,55.0
4.0,1.0,2.0,1.0,47.671690500882136,-122.38523906517403,0.0,9.0,1.0,2.0,7.0,327.0,151.0,3.85,97.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,0.0,11.0,373.0,8.28614754010321,0.048089570007491034,0.05636463030865002,2.0,2.2,38.22784810126582,95.0
